"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","fix"
"11",12,"Lou Amundson\amundlo01","PF",28,"GSW",46,7,15,1.8,4,0.454,0,0,NA,1.8,4,0.454,0.454,0.7,1.9,0.391,1.8,2.3,4,0.4,0.3,0.7,0.5,1.9,4.3,"louamundson"
"12",13,"Chris Andersen\anderch01","C",32,"DEN",45,0,16.3,1.8,3,0.599,0,0,0,1.8,3,0.603,0.599,1.9,3,0.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,"chrisandersen"
"13",15,"James Anderson\anderja01","SF",21,"SAS",26,2,11,1.2,3.1,0.383,0.7,1.8,0.391,0.5,1.3,0.371,0.494,0.5,0.7,0.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6,"jamesanderson"
"14",16,"Ryan Anderson\anderry01","PF",22,"ORL",64,14,22.3,3.5,8.2,0.43,2.1,5.3,0.393,1.4,2.9,0.5,0.558,1.5,1.8,0.812,2,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,"ryananderson"
"15",18,"Joel Anthony\anthojo01","C",28,"MIA",75,11,19.5,0.7,1.3,0.535,0,0,NA,0.7,1.3,0.535,0.535,0.6,1,0.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2,"joelanthony"
"16",20,"Trevor Ariza\arizatr01","SF",25,"NOH",75,75,34.7,4,10.2,0.398,1.1,3.6,0.303,2.9,6.5,0.45,0.451,1.8,2.6,0.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11,"trevorariza"
"17",23,"Darrell Arthur\arthuda01","PF",22,"MEM",80,9,20.1,3.9,7.8,0.497,0,0.1,0,3.9,7.7,0.502,0.497,1.4,1.7,0.813,1.4,2.8,4.3,0.7,0.7,0.8,1.1,2.9,9.1,"darrellarthur"
"18",24,"Omer Asik\asikom01","C",24,"CHI",82,0,12.1,1,1.7,0.553,0,0,NA,1,1.7,0.553,0.553,0.9,1.8,0.503,1.4,2.4,3.7,0.4,0.2,0.7,0.8,1.9,2.8,"omerasik"
"19",25,"D.J. Augustin\augusdj01","PG",23,"CHA",82,82,33.6,4.9,11.7,0.416,1.4,4.1,0.333,3.5,7.6,0.461,0.474,3.3,3.6,0.906,0.5,2.3,2.7,6.1,0.7,0,1.9,1.9,14.4,"djaugustin"
"20",26,"Luke Babbitt\babbilu01","SF",21,"POR",24,0,5.7,0.6,2.3,0.273,0.1,0.7,0.188,0.5,1.6,0.308,0.3,0.1,0.4,0.333,0.3,1,1.3,0.3,0.1,0.1,0.3,0.6,1.5,"lukebabbitt"
"21",28,"Marcus Banks\banksma01","PG",29,"TOR",3,0,7.3,0,0.7,0,0,0,NA,0,0.7,0,0,2,2.7,0.75,0,0.3,0.3,1,0.3,0,0.7,1.3,2,"marcusbanks"
"22",29,"Leandro Barbosa\barbole01","SG",28,"TOR",58,0,24.1,5.1,11.3,0.45,1.2,3.7,0.338,3.8,7.6,0.505,0.505,1.9,2.4,0.796,0.2,1.5,1.7,2.1,0.9,0.1,1.4,1.9,13.3,"leandrobarbosa"
"23",30,"J.J. Barea\bareajo01","PG",26,"DAL",81,2,20.6,3.5,8,0.439,0.8,2.3,0.349,2.7,5.7,0.476,0.49,1.6,1.9,0.847,0.4,1.6,2,3.9,0.4,0,1.7,1.7,9.5,"jjbarea"
"24",31,"Andrea Bargnani\bargnan01","C",25,"TOR",66,66,35.7,8,17.8,0.448,1.2,3.4,0.345,6.8,14.4,0.472,0.48,4.3,5.3,0.82,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4,21.4,"andreabargnani"
"25",32,"Matt Barnes\barnema02","SF",30,"LAL",53,0,19.2,2.5,5.3,0.47,0.6,2,0.318,1.8,3.2,0.564,0.53,1.1,1.5,0.779,1.4,2.9,4.3,1.3,0.7,0.4,1.1,2.4,6.7,"mattbarnes"
"26",34,"Brandon Bass\bassbr01","PF",25,"ORL",76,51,26.1,4.4,8.5,0.515,0,0,0,4.4,8.5,0.516,0.515,2.5,3.1,0.815,1.8,3.8,5.6,0.8,0.4,0.7,1.3,2.1,11.2,"brandonbass"
"27",35,"Tony Battie\battito01","C",34,"PHI",38,0,9.9,1.2,2.5,0.469,0.1,0.1,0.667,1.1,2.4,0.462,0.479,0.2,0.4,0.571,0.4,2.2,2.6,0.3,0.1,0.4,0.3,1.6,2.6,"tonybattie"
"28",37,"Nicolas Batum\batumni01","SF",22,"POR",80,67,31.5,4.6,10.1,0.455,1.5,4.3,0.345,3.1,5.8,0.535,0.528,1.7,2.1,0.841,1.4,3.2,4.5,1.5,0.9,0.6,1,2.4,12.4,"nicolasbatum"
"29",39,"Michael Beasley\beaslmi01","SF",22,"MIN",73,73,32.3,7.7,17.1,0.45,0.8,2.2,0.366,6.9,14.8,0.463,0.474,3,4,0.753,1.6,4,5.6,2.2,0.7,0.7,2.7,3,19.2,"michaelbeasley"
"30",40,"Rodrigue Beaubois\beaubro01","PG",22,"DAL",28,26,17.7,3.4,8,0.422,0.9,3,0.301,2.5,5,0.493,0.478,0.8,1.1,0.767,0.3,1.6,1.9,2.3,0.7,0.3,1.7,2.7,8.4,"rodriguebeaubois"
"31",41,"Marco Belinelli\belinma01","SG",24,"NOH",80,69,24.5,3.8,8.6,0.437,1.7,4.1,0.414,2.1,4.6,0.458,0.534,1.2,1.6,0.784,0.2,1.7,1.9,1.2,0.5,0.1,1,1.8,10.5,"marcobelinelli"
"32",42,"Charlie Bell\bellch01","SG",31,"GSW",19,0,9,0.6,2.3,0.279,0.3,1.1,0.286,0.3,1.2,0.273,0.349,0.1,0.2,0.5,0.3,0.6,0.9,0.7,0.3,0.1,0.3,0.7,1.7,"charliebell"
"33",43,"Raja Bell\bellra01","SG",34,"UTA",68,63,30.8,2.8,6.9,0.409,1,2.8,0.352,1.8,4,0.449,0.482,1.3,1.5,0.892,0.5,2.1,2.6,1.7,0.8,0.2,0.9,2.5,8,"rajabell"
"34",45,"Andris Biedrins\biedran01","C",24,"GSW",59,55,23.7,2.4,4.5,0.534,0,0,NA,2.4,4.5,0.534,0.534,0.2,0.5,0.323,2.5,4.8,7.2,1,0.9,0.9,1,3.4,5,"andrisbiedrins"
"35",47,"DeJuan Blair\blairde01","PF",21,"SAS",81,65,21.4,3.6,7.2,0.501,0,0,0,3.6,7.2,0.503,0.501,1.1,1.7,0.657,2.7,4.3,7,1,1.2,0.5,1.4,2.6,8.3,"dejuanblair"
"36",48,"Steve Blake\blakest01","PG",30,"LAL",79,0,20,1.4,3.9,0.359,0.9,2.4,0.378,0.5,1.4,0.327,0.479,0.3,0.4,0.867,0.2,1.7,2,2.2,0.5,0,0.9,1.3,4,"steveblake"
"37",49,"Andray Blatche\blatcan01","PF",24,"WAS",64,63,33.9,6.7,15,0.445,0.1,0.3,0.222,6.6,14.7,0.449,0.447,3.4,4.4,0.777,2.9,5.4,8.2,2.3,1.5,0.8,2.7,2.8,16.8,"andrayblatche"
"38",50,"Eric Bledsoe\bledser01","PG",21,"LAC",81,25,22.7,2.5,6,0.424,0.4,1.4,0.276,2.1,4.6,0.47,0.457,1.2,1.6,0.744,0.8,1.9,2.8,3.6,1.1,0.3,2.4,1.6,6.7,"ericbledsoe"
"39",51,"Keith Bogans\boganke01","SG",30,"CHI",82,82,17.8,1.5,3.7,0.404,1.1,2.9,0.38,0.4,0.9,0.486,0.55,0.3,0.4,0.656,0.2,1.6,1.8,1.2,0.5,0.1,0.5,1.4,4.4,"keithbogans"
"40",52,"Andrew Bogut\bogutan01","C",26,"MIL",65,65,35.3,5.6,11.4,0.495,0,0.1,0,5.6,11.4,0.497,0.495,1.5,3.3,0.442,3.1,8,11.1,2,0.7,2.6,1.9,3.3,12.8,"andrewbogut"
"41",53,"Matt Bonner\bonnema01","PF",30,"SAS",66,1,21.7,2.6,5.6,0.464,1.6,3.5,0.457,1,2.1,0.475,0.605,0.5,0.7,0.744,0.9,2.7,3.6,0.9,0.4,0.3,0.4,1.7,7.3,"mattbonner"
"42",54,"Trevor Booker\booketr01","PF",23,"WAS",65,14,16.4,2.1,3.9,0.549,0,0,0,2.1,3.9,0.552,0.549,1,1.6,0.673,1.5,2.4,3.9,0.5,0.4,0.6,0.6,1.8,5.3,"trevorbooker"
"43",55,"Carlos Boozer\boozeca01","C",29,"CHI",59,59,31.9,7.3,14.3,0.51,0,0,NA,7.3,14.3,0.51,0.51,2.9,4.1,0.701,2.2,7.4,9.6,2.5,0.8,0.3,2.5,3.2,17.5,"carlosboozer"
"44",56,"Chris Bosh\boshch01","PF",26,"MIA",77,77,36.3,6.8,13.7,0.496,0.1,0.3,0.24,6.7,13.4,0.502,0.499,5,6.1,0.815,1.8,6.5,8.3,1.9,0.8,0.6,1.8,2.2,18.7,"chrisbosh"
"45",57,"Earl Boykins\boykiea01","PG",34,"MIL",57,0,15.1,2.7,6.2,0.443,0.5,1.2,0.38,2.3,4.9,0.459,0.482,1.2,1.4,0.841,0.3,0.7,1,2.5,0.7,0.1,0.9,0.8,7.2,"earlboykins"
"46",58,"Craig Brackins\brackcr01","PF",23,"PHI",3,0,11,1.3,5.3,0.25,0,1.7,0,1.3,3.7,0.364,0.25,0,0,NA,0.7,0.7,1.3,0.3,0.3,0,0,1,2.7,"craigbrackins"
"47",59,"Avery Bradley\bradlav01","PG",20,"BOS",31,0,5.2,0.7,2.2,0.343,0,0.2,0,0.7,2,0.371,0.343,0.2,0.4,0.5,0.1,0.4,0.5,0.4,0.3,0,0.5,0.6,1.7,"averybradley"
"48",60,"Elton Brand\brandel01","PF",31,"PHI",81,81,34.7,6.2,12.1,0.512,0,0,0,6.2,12.1,0.512,0.512,2.6,3.4,0.78,2.9,5.4,8.3,1.5,1.1,1.3,1.2,3,15,"eltonbrand"
"49",62,"Ronnie Brewer\brewero02","SG",25,"CHI",81,1,22,2.5,5.3,0.48,0.1,0.3,0.222,2.5,4.9,0.498,0.487,1.1,1.6,0.654,0.7,2.6,3.2,1.7,1.3,0.3,0.7,1,6.2,"ronniebrewer"
"50",63,"Jon Brockman\brockjo01","C",23,"MIL",63,6,10.7,0.8,1.5,0.511,0,0,NA,0.8,1.5,0.511,0.511,0.6,0.9,0.678,1.2,1.7,2.9,0.3,0.2,0,0.4,1.9,2.2,"jonbrockman"
"51",66,"Kwame Brown\brownkw01","C",28,"CHA",66,50,26,2.9,5.7,0.517,0,0,NA,2.9,5.7,0.517,0.517,2.1,3.5,0.589,2.2,4.6,6.8,0.7,0.4,0.6,1,2.6,7.9,"kwamebrown"
"52",67,"Shannon Brown\brownsh01","SG",25,"LAL",82,0,19.1,3.3,7.8,0.425,0.9,2.6,0.349,2.4,5.3,0.462,0.482,1.1,1.2,0.911,0.4,1.5,1.9,1.2,0.8,0.2,0.9,1.5,8.7,"shannonbrown"
"53",68,"Kobe Bryant\bryanko01","SG",32,"LAL",82,82,33.9,9,20,0.451,1.4,4.3,0.323,7.6,15.6,0.487,0.487,5.9,7.1,0.828,1,4.1,5.1,4.7,1.2,0.1,3,2.1,25.3,"kobebryant"
"54",69,"Chase Budinger\budinch01","SF",22,"HOU",78,22,22.3,3.6,8.4,0.425,1.1,3.5,0.325,2.4,4.9,0.497,0.493,1.5,1.8,0.855,0.7,2.9,3.6,1.6,0.5,0.2,0.9,1.5,9.8,"chasebudinger"
"55",70,"Caron Butler\butleca01","SF",30,"DAL",29,29,29.9,5.9,13,0.45,1,2.2,0.431,4.9,10.8,0.454,0.487,2.3,3,0.773,0.8,3.3,4.1,1.6,1,0.3,1.7,2,15,"caronbutler"
"56",72,"Andrew Bynum\bynuman01","C",23,"LAL",54,47,27.8,4.4,7.6,0.574,0,0,NA,4.4,7.6,0.574,0.574,2.6,3.9,0.66,3.1,6.3,9.4,1.4,0.4,2,1.4,2.6,11.3,"andrewbynum"
"57",73,"Will Bynum\bynumwi01","PG",28,"DET",61,5,18.4,3,6.7,0.448,0.3,0.8,0.32,2.7,5.8,0.466,0.468,1.7,2,0.836,0.2,1,1.2,3.2,0.9,0.1,1.4,1.9,7.9,"willbynum"
"58",74,"Jose Calderon\caldejo01","PG",29,"TOR",68,55,30.9,3.9,8.8,0.44,0.8,2.3,0.365,3,6.5,0.466,0.487,1.3,1.5,0.854,0.4,2.5,3,8.9,1.2,0.1,2.2,2.1,9.8,"josecalderon"
"59",75,"Marcus Camby\cambyma01","C",36,"POR",59,51,26.1,2,5,0.398,0,0,0,2,5,0.399,0.398,0.7,1.2,0.614,3.1,7.2,10.3,2.1,0.7,1.6,1.1,2.4,4.7,"marcuscamby"
"60",76,"Derrick Caracter\caracde01","C",22,"LAL",41,0,5.2,0.8,1.6,0.485,0,0,NA,0.8,1.6,0.485,0.485,0.4,0.6,0.739,0.5,0.6,1,0.2,0.1,0.2,0.5,1.1,2,"derrickcaracter"
"61",77,"Brian Cardinal\cardibr01","SF",33,"DAL",56,4,11,0.8,1.8,0.43,0.8,1.6,0.483,0,0.2,0.077,0.64,0.3,0.3,0.944,0.2,0.9,1.1,0.7,0.4,0.1,0.3,1.5,2.6,"briancardinal"
"62",80,"Matt Carroll\carroma01","SG",30,"CHA",54,1,10.8,1.6,3.7,0.447,0.3,0.9,0.37,1.3,2.8,0.471,0.49,0.7,1,0.769,0.2,1,1.3,0.4,0.3,0.1,0.4,0.8,4.4,"mattcarroll"
"63",83,"Omri Casspi\casspom01","SF",22,"SAC",71,27,24,3.2,7.7,0.412,1.3,3.5,0.372,1.9,4.2,0.445,0.496,1,1.4,0.673,1,3.3,4.3,1,0.8,0.2,1,1.6,8.6,"omricasspi"
"64",84,"Mario Chalmers\chalmma01","PG",24,"MIA",70,28,22.6,2.2,5.5,0.399,1.2,3.3,0.359,1,2.2,0.459,0.506,0.8,0.9,0.871,0.2,1.9,2.1,2.5,1.1,0.1,1.3,2.3,6.4,"mariochalmers"
"65",85,"Tyson Chandler\chandty01","C",28,"DAL",74,74,27.8,3.6,5.5,0.654,0,0,NA,3.6,5.5,0.654,0.654,2.9,4,0.732,2.8,6.6,9.4,0.4,0.5,1.1,1.2,3.2,10.1,"tysonchandler"
"66",87,"Josh Childress\childjo01","SG",27,"PHO",54,3,16.6,2.2,4,0.565,0,0.3,0.063,2.2,3.7,0.606,0.568,0.5,1.1,0.492,1.3,1.6,2.9,0.8,0.6,0.4,0.8,1.3,5,"joshchildress"
"67",90,"Jason Collins\collija04","C",32,"ATL",49,28,12.1,0.7,1.4,0.479,0,0,1,0.7,1.4,0.471,0.486,0.6,0.8,0.659,0.6,1.5,2.1,0.4,0.2,0.2,0.5,2,2,"jasoncollins"
"68",91,"Sherron Collins\collish01","PG",23,"CHA",20,0,3.3,0.4,1.3,0.28,0.1,0.5,0.2,0.3,0.8,0.333,0.32,0.1,0.1,1,0,0.3,0.3,0.4,0.1,0,0.2,0.1,0.9,"sherroncollins"
"69",92,"Darren Collison\collida01","PG",23,"IND",79,79,29.9,5,11,0.457,0.5,1.6,0.331,4.5,9.4,0.479,0.481,2.6,2.9,0.871,0.5,2.3,2.8,5.1,1.1,0.2,2.5,1.4,13.2,"darrencollison"
"70",93,"Nick Collison\collini01","C",30,"OKC",71,2,21.5,1.9,3.4,0.566,0,0,NA,1.9,3.4,0.566,0.566,0.8,1,0.753,1.7,2.8,4.5,1,0.6,0.4,0.8,3,4.6,"nickcollison"
"71",94,"Mike Conley\conlemi01","PG",23,"MEM",81,81,35.5,5.2,11.8,0.444,1,2.7,0.369,4.2,9.1,0.466,0.486,2.2,3,0.733,0.4,2.7,3,6.5,1.8,0.2,2.2,2.2,13.7,"mikeconley"
"72",95,"Brian Cook\cookbr01","PF",30,"LAC",40,0,11.2,1.8,4.3,0.424,0.9,2,0.43,1,2.3,0.418,0.524,0.4,0.6,0.625,0.5,1.9,2.4,0.4,0.3,0.3,0.6,1.9,4.8,"briancook"
"73",96,"Daequan Cook\cookda02","SG",23,"OKC",43,0,13.9,1.8,4.2,0.436,1.5,3.6,0.422,0.3,0.6,0.519,0.616,0.4,0.5,0.8,0.2,1.5,1.7,0.5,0.3,0,0.4,1.2,5.6,"daequancook"
"74",97,"Marcus Cousin\cousima01","C",24,"UTA",4,0,4.5,0.5,0.8,0.667,0,0,NA,0.5,0.8,0.667,0.667,0,0,NA,0,0.8,0.8,0,0,0.3,0.3,0.3,1,"marcuscousin"
"75",98,"DeMarcus Cousins\couside01","C",20,"SAC",81,62,28.5,5.3,12.4,0.43,0,0.2,0.167,5.3,12.2,0.435,0.432,3.4,5,0.687,2.7,6,8.6,2.5,1,0.8,3.3,4.1,14.1,"demarcuscousins"
"76",99,"Jamal Crawford\crawfja01","SG",30,"ATL",76,0,30.2,4.8,11.5,0.421,1.6,4.6,0.341,3.3,6.9,0.474,0.489,2.9,3.4,0.854,0.3,1.4,1.7,3.2,0.8,0.2,1.9,1.3,14.2,"jamalcrawford"
"77",102,"Stephen Curry\curryst01","PG",22,"GSW",74,74,33.6,6.8,14.2,0.48,2,4.6,0.442,4.8,9.6,0.498,0.551,2.9,3.1,0.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6,"stephencurry"
"78",103,"Samuel Dalembert\dalemsa01","C",29,"SAC",80,46,24.2,3.4,7.1,0.473,0,0,0,3.4,7.1,0.474,0.473,1.4,1.9,0.73,2.7,5.6,8.2,0.8,0.5,1.5,1.7,2.8,8.1,"samueldalembert"
"79",104,"Erick Dampier\dampier01","C",35,"MIA",51,22,16,1,1.7,0.584,0,0,0,1,1.7,0.591,0.584,0.5,0.9,0.545,1,2.4,3.5,0.4,0.3,0.9,0.6,1.6,2.5,"erickdampier"
"80",105,"Antonio Daniels\daniean01","PG",35,"PHI",4,0,8.8,0.5,1.3,0.4,0,0.5,0,0.5,0.8,0.667,0.4,0.5,0.5,1,0,1.3,1.3,0.5,0,0,0.3,0,1.5,"antoniodaniels"
"81",106,"Marquis Daniels\daniema01","SF",30,"BOS",49,0,19.1,2.3,4.7,0.491,0.1,0.4,0.19,2.2,4.3,0.521,0.5,0.8,1.2,0.684,0.5,1.8,2.3,1.3,0.8,0.4,0.8,1.3,5.5,"marquisdaniels"
"82",108,"Ed Davis\davised01","PF",21,"TOR",65,17,24.6,3.3,5.7,0.576,0,0,NA,3.3,5.7,0.576,0.576,1.1,2,0.555,2.6,4.5,7.1,0.6,0.6,1,0.7,2.8,7.7,"eddavis"
"83",109,"Glen Davis\davisgl01","C",25,"BOS",78,13,29.5,4.6,10.3,0.448,0,0.2,0.133,4.6,10.1,0.454,0.449,2.5,3.4,0.736,1.3,4.2,5.4,1.2,1,0.4,1.1,3,11.7,"glendavis"
"84",110,"Austin Daye\dayeau01","SF",22,"DET",72,16,20.1,2.7,6.5,0.41,1,2.4,0.401,1.7,4.2,0.415,0.483,1.1,1.5,0.759,0.9,2.9,3.8,1.1,0.5,0.5,0.8,2.3,7.5,"austindaye"
"85",111,"Carlos Delfino\delfica01","SF",28,"MIL",49,40,32.4,4.1,10.5,0.39,2.1,5.8,0.37,1.9,4.7,0.415,0.492,1.2,1.5,0.8,0.5,3.6,4.1,2.3,1.6,0.2,1.2,1.5,11.5,"carlosdelfino"
"86",112,"Luol Deng\denglu01","SF",25,"CHI",82,82,39.1,6.5,14.1,0.46,1.4,4.1,0.345,5.1,10,0.506,0.51,3.1,4.1,0.753,1.4,4.4,5.8,2.8,1,0.6,1.9,2,17.4,"luoldeng"
"87",113,"DeMar DeRozan\derozde01","SG",21,"TOR",82,82,34.8,6.6,14.1,0.467,0.1,0.6,0.096,6.5,13.4,0.485,0.469,4,4.9,0.813,0.9,2.9,3.8,1.8,1,0.4,1.8,2.6,17.2,"demarderozan"
"88",114,"Boris Diaw\diawbo01","PF",28,"CHA",82,82,33.9,4.6,9.4,0.492,1,2.8,0.345,3.7,6.7,0.553,0.543,1,1.5,0.683,1.3,3.8,5,4.1,0.9,0.6,2,2.3,11.3,"borisdiaw"
"89",115,"Ike Diogu\dioguik01","PF",27,"LAC",36,0,13.1,2.3,4.1,0.561,0,0,NA,2.3,4.1,0.561,0.561,1.1,1.7,0.661,1.1,2.1,3.2,0.1,0.1,0.1,0.6,2,5.8,"ikediogu"
"90",116,"DeSagana Diop\diopde01","C",29,"CHA",16,0,11.3,0.5,1.5,0.333,0,0,NA,0.5,1.5,0.333,0.333,0.3,0.7,0.364,0.8,1.8,2.5,0.4,0.3,0.9,0.7,1.6,1.3,"desaganadiop"
"91",117,"Keyon Dooling\doolike01","PG",30,"MIL",80,22,22,2.6,6.5,0.397,1,2.9,0.346,1.6,3.6,0.439,0.475,1,1.2,0.83,0.2,1.3,1.5,3,0.7,0.1,1.1,1.5,7.1,"keyondooling"
"92",118,"Joey Dorsey\dorsejo01","C",27,"TOR",43,9,12.1,1.2,2.3,0.525,0,0,NA,1.2,2.3,0.525,0.525,0.7,1.5,0.477,1.8,2.6,4.4,0.6,0.6,0.4,0.9,1.8,3.1,"joeydorsey"
"93",119,"Toney Douglas\douglto01","SG",24,"NYK",81,9,24.3,3.9,9.3,0.416,1.8,4.7,0.373,2.1,4.6,0.46,0.511,1,1.3,0.794,0.8,2.2,3,3,1.1,0,1.1,2.2,10.6,"toneydouglas"
"94",120,"Chris Douglas-Roberts\douglch01","SF",24,"MIL",44,12,20.1,2.7,6.2,0.429,0.3,1,0.326,2.3,5.2,0.449,0.456,1.7,2,0.831,0.2,1.8,2,1.1,0.7,0.3,0.8,1.7,7.3,"chrisdouglasroberts"
"95",121,"Zabian Dowdell\dowdeza01","PG",26,"PHO",24,0,12.2,2.1,5.2,0.408,0.1,0.4,0.3,2,4.8,0.417,0.42,0.7,0.7,0.941,0.2,0.6,0.8,2.1,0.8,0.1,1.2,1.3,5,"zabiandowdell"
"96",123,"Jared Dudley\dudleja01","SF",25,"PHO",82,15,26.1,3.7,7.7,0.477,1.3,3.1,0.415,2.4,4.6,0.519,0.56,2,2.7,0.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6,"jareddudley"
"97",124,"Chris Duhon\duhonch01","PG",28,"ORL",51,5,15.2,1,2.5,0.38,0.3,1,0.25,0.7,1.5,0.468,0.43,0.3,0.5,0.56,0.2,0.8,1,2.3,0.3,0,1.2,0.6,2.5,"chrisduhon"
"98",125,"Tim Duncan\duncati01","C",34,"SAS",76,76,28.4,5.5,11,0.5,0,0.1,0,5.5,11,0.502,0.5,2.4,3.4,0.716,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4,"timduncan"
"99",126,"Mike Dunleavy\dunlemi02","SG",30,"IND",61,44,27.6,3.9,8.5,0.462,1.7,4.2,0.402,2.3,4.4,0.519,0.56,1.6,2,0.8,0.5,4.1,4.5,1.7,0.7,0.5,1.1,1.8,11.2,"mikedunleavy"
"100",127,"Ronald Dupree\duprero01","SF",30,"TOR",3,0,4.3,0.3,1.3,0.25,0,0.3,0,0.3,1,0.333,0.25,0,0,NA,0,1,1,0.3,0,0,0,0.7,0.7,"ronalddupree"
"101",128,"Kevin Durant\duranke01","SF",22,"OKC",78,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1,2.8,2,27.7,"kevindurant"
"102",129,"Devin Ebanks\ebankde01","SG",21,"LAL",20,0,5.9,1.1,2.6,0.412,0.1,0.3,0.4,1,2.3,0.413,0.431,0.9,1.2,0.783,0.8,0.6,1.4,0.1,0.2,0.3,0.3,0.4,3.1,"devinebanks"
"103",130,"Wayne Ellington\ellinwa01","SG",23,"MIN",62,8,19,2.6,6.4,0.403,0.8,2,0.397,1.8,4.5,0.406,0.463,0.7,0.9,0.792,0.4,1.3,1.7,1.2,0.5,0,0.9,1.4,6.6,"wayneellington"
"104",131,"Monta Ellis\ellismo01","SG",25,"GSW",80,80,40.3,9.1,20.1,0.451,1.7,4.7,0.361,7.4,15.4,0.478,0.493,4.3,5.4,0.789,0.6,3,3.5,5.6,2.1,0.3,3.2,2.5,24.1,"montaellis"
"105",132,"Francisco Elson\elsonfr01","C",34,"UTA",62,1,9.8,0.9,1.8,0.478,0,0,NA,0.9,1.8,0.478,0.478,0.4,0.5,0.839,0.6,1.3,1.9,0.5,0.3,0.2,0.5,1.4,2.2,"franciscoelson"
"106",133,"Melvin Ely\elyme01","C",32,"DEN",30,2,12.2,0.9,1.7,0.549,0,0,NA,0.9,1.7,0.549,0.549,0.4,0.7,0.619,0.9,1.6,2.5,0.5,0.1,0.4,0.5,1.7,2.3,"melvinely"
"107",135,"Jeremy Evans\evansje01","SF",23,"UTA",49,3,9.4,1.6,2.3,0.661,0,0,0,1.6,2.3,0.667,0.661,0.5,0.8,0.703,0.7,1.2,2,0.5,0.3,0.3,0.4,1,3.6,"jeremyevans"
