"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP","fix"
"29",30,"Andrea Bargnani\bargnan01","C",26,"TOR",31,1032,17.9,0.538,0.238,0.357,2.8,16.6,9.8,11.6,0.9,1.2,11,28.7,NA,1.3,0.9,2.2,0.104,NA,0.8,-1.5,-0.8,0.3,"andreabargnani"
"30",31,"Matt Barnes\barnema02","SF",31,"LAL",63,1440,15.5,0.554,0.357,0.331,7.9,18.3,13.3,13.8,1.3,2.4,14.1,16.4,NA,2.4,1.8,4.3,0.142,NA,1.1,1.5,2.6,1.7,"mattbarnes"
"31",32,"Earl Barron\barroea01","C",30,"GSW",2,9,4.7,0.5,0,0,12.6,0,6.3,0,0,0,0,20.5,NA,0,0,0,0.054,NA,-2,-8.3,-10.3,0,"earlbarron"
"32",33,"Brandon Bass\bassbr01","PF",26,"BOS",59,1868,14.1,0.524,0,0.258,6.3,16.3,11.5,5.1,1,2.2,8.5,19.8,NA,1.5,3.2,4.7,0.122,NA,-2.1,1.1,-1.1,0.4,"brandonbass"
"33",34,"Tony Battie\battito01","C",35,"PHI",27,295,7.3,0.398,0.02,0.078,3,22.3,12.6,7.6,0.7,1.5,7,9,NA,0,0.5,0.5,0.076,NA,-5.7,1.8,-3.9,-0.1,"tonybattie"
"34",35,"Shane Battier\battish01","SF",33,"MIA",65,1499,9.7,0.504,0.627,0.127,4.6,7.7,6.2,8,2.2,1.8,10.7,10.7,NA,1.2,2.1,3.3,0.104,NA,0.2,1.5,1.7,1.4,"shanebattier"
"35",36,"Nicolas Batum\batumni01","SF",23,"POR",59,1791,17.3,0.575,0.427,0.248,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,NA,3.3,1.4,4.8,0.127,NA,2.3,0,2.3,1.9,"nicolasbatum"
"36",37,"Jerryd Bayless\bayleje01","PG",23,"TOR",31,705,17.7,0.561,0.377,0.319,1.3,9.5,5.5,30.7,1.8,0.5,14.4,24.6,NA,1.5,0.6,2,0.139,NA,3.2,-1.9,1.3,0.6,"jerrydbayless"
"37",38,"Michael Beasley\beaslmi01","SF",23,"MIN",47,1087,13,0.502,0.203,0.191,4,17.2,10.6,7.7,0.9,1.2,12.9,25.3,NA,-0.3,0.8,0.5,0.022,NA,-2.5,-1.4,-3.9,-0.5,"michaelbeasley"
"38",39,"Rodrigue Beaubois\beaubro01","PG",23,"DAL",53,1151,15.3,0.496,0.297,0.155,1.9,12.8,7.4,22.7,2.6,1.9,12.8,22,NA,0.5,1.7,2.2,0.092,NA,-0.1,1.4,1.3,0.9,"rodriguebeaubois"
"39",40,"Marco Belinelli\belinma01","SG",25,"NOH",66,1966,11.9,0.525,0.414,0.188,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,NA,1.9,1,2.9,0.071,NA,0.5,-1.8,-1.4,0.3,"marcobelinelli"
"40",41,"Raja Bell\bellra01","SG",35,"UTA",34,796,8.3,0.586,0.5,0.144,0.9,6.3,3.5,7,0.9,0.2,10.2,11.6,NA,1,0.1,1.1,0.069,NA,0.5,-1.6,-1.1,0.2,"rajabell"
"41",42,"Keith Benson\bensoke02","C",23,"GSW",3,9,6,0,0,0,25.3,12.6,18.9,0,0,0,0,5.1,NA,0,0,0,-0.005,NA,-5.4,-5.1,-10.4,0,"keithbenson"
"42",43,"Mike Bibby\bibbymi01","PG",33,"NYK",39,557,7.8,0.404,0.685,0.065,1,11.3,6.1,21.2,1.9,0.4,13.6,11.9,NA,0,0.7,0.7,0.061,NA,-2.3,-0.2,-2.5,-0.1,"mikebibby"
"43",44,"Andris Biedrins\biedran01","C",25,"GSW",47,739,8.8,0.581,0,0.141,6.9,20,13.5,3,1.6,4.7,17.1,5.1,NA,0.6,0.7,1.3,0.085,NA,-3.1,2.9,-0.2,0.3,"andrisbiedrins"
"44",45,"Chauncey Billups\billuch01","SG",35,"LAC",20,607,16.1,0.554,0.548,0.417,0.8,9.1,4.9,21,0.8,0.4,12.3,23.4,NA,1.5,0.2,1.7,0.135,NA,2.9,-3.2,-0.4,0.3,"chaunceybillups"
"45",46,"Bismack Biyombo\biyombi01","C",19,"CHA",63,1455,10.6,0.48,0,0.514,8.6,20.8,14.5,3.1,0.7,5.9,17.2,13.1,NA,-0.5,1.1,0.6,0.019,NA,-5.4,1.5,-3.9,-0.7,"bismackbiyombo"
"46",47,"DeJuan Blair\blairde01","PF",22,"SAS",64,1363,17.6,0.549,0.002,0.236,13.2,16.3,14.8,9.2,2.2,0.6,14.2,21.7,NA,2.2,1.8,4,0.142,NA,0.8,0.8,1.6,1.2,"dejuanblair"
"47",48,"Steve Blake\blakest01","PG",31,"LAL",53,1237,8.5,0.493,0.59,0.101,0.9,6.6,3.8,21,1.7,0.1,20.5,13,NA,0.2,0.8,1,0.04,NA,-1.4,-1.4,-2.9,-0.3,"steveblake"
"48",49,"Andray Blatche\blatcan01","PF",25,"WAS",26,626,10.6,0.415,0.029,0.2,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,NA,-0.8,0.6,-0.1,-0.011,NA,-4.8,-0.3,-5.1,-0.5,"andrayblatche"
"49",50,"Eric Bledsoe\bledser01","PG",22,"LAC",40,464,11.2,0.454,0.238,0.349,5.6,11.1,8.3,21.6,3.6,2.5,24.4,19.1,NA,-0.4,0.6,0.2,0.022,NA,-3,2,-0.9,0.1,"ericbledsoe"
"50",51,"Keith Bogans\boganke01","SF",31,"NJN",5,94,4.8,0.453,0.571,0.238,6,7.6,6.8,5.1,1.1,0,11.5,12.8,NA,0,0,0,-0.005,NA,-2.3,-2.7,-5.1,-0.1,"keithbogans"
"51",52,"Andrew Bogut\bogutan01","C",27,"MIL",12,364,14.9,0.465,0.007,0.169,6.5,24.3,15.1,13.7,1.7,5,14.1,20.6,NA,-0.1,0.6,0.5,0.062,NA,-3.2,3.2,0,0.2,"andrewbogut"
"52",53,"Matt Bonner\bonnema01","PF",31,"SAS",65,1326,13.2,0.597,0.714,0.06,2.6,15.7,9.3,6.5,0.6,1.1,3.8,12.8,NA,2.7,1.2,4,0.143,NA,2.3,-0.3,2,1.3,"mattbonner"
"53",54,"Trevor Booker\booketr01","PF",24,"WAS",50,1261,15.4,0.549,0.006,0.273,10.6,18.6,14.5,5.1,2,2.6,13.2,15.6,NA,1.6,1.4,3,0.113,NA,-0.7,1,0.3,0.7,"trevorbooker"
"54",55,"Carlos Boozer\boozeca01","PF",30,"CHI",66,1948,19.7,0.549,0.001,0.163,6.7,25.3,16.1,11.8,1.7,0.9,11.3,23.8,NA,3.3,4.3,7.6,0.187,NA,0.3,1.7,2,2,"carlosboozer"
"55",56,"Chris Bosh\boshch01","PF",27,"MIA",57,2007,18.9,0.551,0.043,0.346,5.8,20.5,13.5,9.1,1.3,1.8,11.2,24.2,NA,3.6,3.3,6.9,0.165,NA,-0.3,0.3,0,1,"chrisbosh"
"56",57,"Earl Boykins\boykiea01","PG",35,"HOU",8,111,10.3,0.458,0.25,0.417,0,11.6,5.7,23,0.5,0,14.1,20.3,NA,0,0,0.1,0.029,NA,-3.2,-3.1,-6.3,-0.1,"earlboykins"
"57",58,"Craig Brackins\brackcr01","PF",24,"PHI",14,88,4.3,0.325,0.273,0.061,6.3,12.7,9.5,13.5,0,0.9,10.6,20.2,NA,-0.2,0.1,-0.1,-0.065,NA,-6.3,-1.9,-8.1,-0.1,"craigbrackins"
"58",59,"Avery Bradley\bradlav01","PG",21,"BOS",64,1368,11.3,0.555,0.134,0.194,3.1,6.7,5,10.8,1.7,0.7,14.7,17.9,NA,0.6,1.9,2.4,0.085,NA,-1.6,0.3,-1.3,0.2,"averybradley"
"59",60,"Elton Brand\brandel01","C",32,"PHI",60,1732,18,0.521,0.002,0.2,9.2,18.3,13.7,9.2,1.8,4.2,9.3,18.9,NA,2.5,3.6,6.1,0.168,NA,-0.5,3.4,2.9,2.2,"eltonbrand"
"60",61,"Corey Brewer\breweco01","SF",25,"DEN",59,1287,13.7,0.505,0.274,0.281,4,9.4,6.8,10.6,2.9,1,9.7,20,NA,1.1,1.1,2.3,0.085,NA,0.3,0,0.3,0.8,"coreybrewer"
"61",62,"Ronnie Brewer\brewero02","SG",26,"CHI",66,1635,12.3,0.465,0.155,0.225,5,10.6,7.9,12.7,2.4,0.9,10.8,15.3,NA,1,2.9,3.9,0.113,NA,-1,2.3,1.2,1.3,"ronniebrewer"
"62",63,"Jon Brockman\brockjo01","PF",24,"MIL",35,239,6.6,0.359,0.022,0.333,14.8,19.9,17.3,5.2,0.9,0.3,16.2,11.4,NA,-0.1,0.2,0.1,0.023,NA,-4.5,-0.8,-5.3,-0.2,"jonbrockman"
"63",64,"MarShon Brooks\brookma01","SG",23,"NJN",56,1648,12.9,0.502,0.234,0.231,4.8,9.4,7,14.6,1.7,0.7,14.3,22.9,NA,0.5,0.3,0.8,0.022,NA,-0.7,-1.8,-2.5,-0.2,"marshonbrooks"
"64",65,"Derrick Brown\brownde04","SF",24,"CHA",65,1443,14.7,0.556,0.059,0.345,7.3,11.6,9.4,8.5,1.8,0.6,10.5,16.8,NA,2,0.3,2.3,0.076,NA,-0.3,-1.2,-1.5,0.2,"derrickbrown"
"65",66,"Kwame Brown\brownkw01","C",29,"GSW",9,187,11.1,0.519,0,0.85,9.7,24.8,17.3,3.2,2.2,0,20.3,17,NA,-0.1,0.2,0.1,0.031,NA,-4.7,-1.5,-6.2,-0.2,"kwamebrown"
"66",67,"Shannon Brown\brownsh01","SG",26,"PHO",59,1400,13.6,0.507,0.314,0.166,3.1,9.5,6.3,8.1,1.6,0.8,9.1,22.8,NA,0.8,0.8,1.6,0.054,NA,0,-1.3,-1.3,0.2,"shannonbrown"
"67",68,"Kobe Bryant\bryanko01","SG",33,"LAL",58,2232,21.9,0.527,0.215,0.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,NA,4.2,2,6.2,0.132,NA,3.6,-1.4,2.3,2.4,"kobebryant"
"68",69,"Chase Budinger\budinch01","SF",23,"HOU",58,1298,14.9,0.556,0.465,0.149,3.4,16.2,9.7,9.3,1.2,0.4,9.9,19.5,NA,2,1,3,0.111,NA,1.2,-1.3,0,0.6,"chasebudinger"
"69",70,"Alec Burks\burksal01","SG",20,"UTA",59,939,14,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,NA,1.1,0.4,1.5,0.076,NA,-0.2,-2.2,-2.5,-0.1,"alecburks"
"70",71,"Caron Butler\butleca01","SF",31,"LAC",63,1871,11.7,0.501,0.365,0.152,2.8,12,7.3,6.8,1.5,0.4,9.3,20.4,NA,1.2,1.1,2.3,0.059,NA,-0.7,-1.5,-2.2,-0.1,"caronbutler"
"71",72,"Jimmy Butler\butleji01","SG",22,"CHI",42,359,12.5,0.526,0.139,0.709,7.3,10.1,8.7,5.7,1.6,1,11.9,14.9,NA,0.5,0.6,1.1,0.144,NA,-1.7,0.4,-1.3,0.1,"jimmybutler"
"72",73,"Rasual Butler\butlera01","SF",32,"TOR",34,453,4.8,0.398,0.579,0.09,1.6,15.4,8.5,6.8,0.8,0.9,9.8,15.9,NA,-0.6,0.4,-0.2,-0.022,NA,-4.2,-1.3,-5.5,-0.4,"rasualbutler"
"73",74,"Derrick Byars\byarsde01","PF",27,"SAS",2,37,14.9,0.392,0.545,0.364,19,15.2,17.1,3.7,2.8,0,0,15.7,NA,0.1,0.1,0.1,0.147,NA,1.6,-1.1,0.6,0,"derrickbyars"
"74",75,"Andrew Bynum\bynuman01","C",24,"LAL",60,2112,22.9,0.594,0.006,0.425,10.6,26.1,18.7,7.4,0.7,4,13.9,23.8,NA,4.8,3.3,8,0.183,NA,0.7,1.2,1.8,2,"andrewbynum"
"75",76,"Will Bynum\bynumwi01","PG",29,"DET",36,514,10,0.459,0.149,0.33,2.3,11.1,6.5,22.4,2.4,0.5,19.6,24.8,NA,-0.7,0.4,-0.2,-0.022,NA,-3.6,-1.6,-5.2,-0.4,"willbynum"
"76",77,"Jose Calderon\caldejo01","PG",30,"TOR",53,1799,16.7,0.547,0.333,0.143,1.3,9.1,5.2,44.2,1.4,0.1,17,16,NA,3.9,1.2,5.1,0.136,NA,2.2,-2.6,-0.4,0.7,"josecalderon"
"77",79,"Brian Cardinal\cardibr01","SF",34,"DAL",44,277,3.3,0.373,0.891,0.109,1.6,12.1,6.9,8.3,1.5,0.6,12.2,11,NA,-0.3,0.3,0,0.004,NA,-3.8,0.1,-3.7,-0.1,"briancardinal"
"78",81,"Matt Carroll\carroma01","SG",31,"CHA",53,596,5.6,0.409,0.274,0.242,1.5,10,5.6,10.6,1.4,0.9,12.1,15.3,NA,-0.7,0.1,-0.6,-0.051,NA,-5.3,-2.1,-7.3,-0.8,"mattcarroll"
"79",82,"Anthony Carter\cartean01","PG",36,"TOR",24,209,8.7,0.409,0.321,0.189,2.8,15.5,9.3,25.9,2.1,1.6,22.8,16.8,NA,-0.3,0.3,0,0.001,NA,-4.2,0.9,-3.3,-0.1,"anthonycarter"
"80",83,"Vince Carter\cartevi01","SG",35,"DAL",61,1542,13.6,0.519,0.378,0.212,2.3,12.5,7.5,15,1.9,1.3,12.4,20.4,NA,1,1.8,2.9,0.09,NA,0,0.6,0.6,1,"vincecarter"
"81",84,"Omri Casspi\casspom01","SF",23,"CLE",65,1341,11.2,0.499,0.408,0.262,5.1,14.5,9.7,8.4,1.5,1.2,12.2,17.6,NA,0.6,0.6,1.2,0.044,NA,-1.2,-1.1,-2.4,-0.1,"omricasspi"
"82",85,"Mario Chalmers\chalmma01","PG",25,"MIA",64,1825,13,0.578,0.522,0.203,1.1,9.8,5.6,19,2.8,0.5,20.7,17.4,NA,1.5,2.8,4.3,0.112,NA,1,0.4,1.4,1.5,"mariochalmers"
"83",86,"Tyson Chandler\chandty01","C",29,"NYK",62,2061,18.7,0.708,0.006,0.887,11.8,22.7,17.2,4.3,1.4,3.4,17.1,13,NA,5.8,3.6,9.5,0.22,NA,1.4,2.8,4.1,3.2,"tysonchandler"
"84",87,"Wilson Chandler\chandwi01","SF",24,"DEN",8,215,9,0.445,0.152,0.152,3.4,18.4,11.1,12,1.4,2.2,17.6,21.2,NA,-0.3,0.2,-0.1,-0.021,NA,-4.5,0.5,-4,-0.1,"wilsonchandler"
"85",88,"Josh Childress\childjo01","SF",28,"PHO",34,491,11.1,0.501,0.242,0.02,7.2,14.6,10.9,10,1.5,0.9,8.3,10.1,NA,0.6,0.4,0.9,0.092,NA,-0.3,1.4,1.1,0.4,"joshchildress"
"86",89,"Earl Clark\clarkea01","PF",24,"ORL",45,559,8.1,0.405,0,0.209,7.1,18.6,12.8,5.2,1.2,4.5,14.1,14.8,NA,-0.5,0.8,0.3,0.027,NA,-6.2,2.4,-3.8,-0.3,"earlclark"
"87",90,"Norris Cole\coleno01","PG",23,"MIA",65,1260,7.9,0.452,0.169,0.189,2.1,6.4,4.3,17,1.8,0.1,17.7,21.8,NA,-1.4,1.4,0,0,NA,-4.1,-1.8,-5.9,-1.2,"norriscole"
"88",91,"Jason Collins\collija04","C",33,"ATL",30,308,3.7,0.418,0,0.375,4.6,13.6,9.1,4.6,0.7,0.7,17.7,8.6,NA,-0.2,0.3,0.2,0.025,NA,-5.6,0.5,-5.1,-0.2,"jasoncollins"
"89",92,"Darren Collison\collida01","PG",24,"IND",60,1878,13.6,0.526,0.18,0.293,1.8,9.3,5.6,24.9,1.4,0.6,16.2,17,NA,2.3,1.5,3.8,0.098,NA,0.5,-0.8,-0.3,0.8,"darrencollison"
"90",93,"Nick Collison\collini01","PF",31,"OKC",63,1307,12.1,0.622,0.005,0.308,11.1,12.7,12,9.3,1.3,1.6,21.1,10,NA,2.3,1.2,3.5,0.13,NA,0.9,1.3,2.2,1.4,"nickcollison"
"91",94,"Mike Conley\conlemi01","PG",24,"MEM",62,2174,16.8,0.523,0.232,0.231,1.2,7.4,4.2,29.8,3.3,0.4,14.2,18.3,NA,3.6,2.8,6.4,0.141,NA,1.8,0.1,1.9,2.1,"mikeconley"
"92",96,"Daequan Cook\cookda02","SG",24,"OKC",57,989,9.2,0.509,0.77,0.074,1.5,11.9,7,2.3,1.1,0.8,5,14.7,NA,0.8,0.8,1.6,0.078,NA,-0.2,-2.4,-2.6,-0.1,"daequancook"
"93",97,"DeMarcus Cousins\couside01","C",21,"SAC",64,1950,21.7,0.499,0.014,0.373,14.2,25.9,19.8,9.5,2.4,2.8,12.8,29.7,NA,2.1,2.2,4.2,0.104,NA,-0.4,0,-0.3,0.8,"demarcuscousins"
"94",98,"Jamal Crawford\crawfja01","PG",31,"POR",60,1613,15.7,0.506,0.353,0.28,1.1,7.5,4.3,20.5,1.8,0.7,11.8,26.6,NA,1.6,0.7,2.3,0.069,NA,0.9,-2.6,-1.7,0.1,"jamalcrawford"
"95",99,"Jordan Crawford\crawfjo02","SG",23,"WAS",64,1753,14.5,0.488,0.313,0.233,2.8,8.1,5.4,19.3,1.7,0.2,12.8,28.1,NA,0.3,0.7,1.1,0.029,NA,0.7,-3,-2.3,-0.2,"jordancrawford"
"96",100,"Dante Cunningham\cunnida01","PF",24,"MEM",64,1124,14.9,0.538,0.007,0.247,9.3,16.4,12.8,5.2,2,2.5,8.6,13.6,NA,1.8,1.7,3.4,0.147,NA,-0.8,1.6,0.8,0.8,"dantecunningham"
"97",101,"Eddy Curry\curryed01","C",29,"MIA",14,83,3.6,0.508,0,0.308,6,11.1,8.6,1.9,0,2,25.3,22.1,NA,-0.2,0.1,-0.1,-0.046,NA,-8.2,-3.1,-11.3,-0.2,"eddycurry"
"98",102,"Stephen Curry\curryst01","PG",23,"GSW",26,732,21.2,0.605,0.409,0.159,2.3,11.3,6.8,32.3,2.8,0.8,17,24,NA,1.8,0.4,2.2,0.144,NA,4.7,-1.3,3.4,1,"stephencurry"
"99",103,"Samuel Dalembert\dalemsa01","C",30,"HOU",65,1446,16.9,0.551,0.003,0.286,12.6,24.1,18.3,3.6,1.3,5.7,15.6,16.6,NA,1.8,2.3,4.1,0.137,NA,-2.1,2.4,0.3,0.8,"samueldalembert"
"100",104,"Erick Dampier\dampier01","C",36,"ATL",15,83,5.5,0.125,0,0,14.3,21,17.7,6.5,0.6,3.7,27.3,6.2,NA,-0.1,0.1,0.1,0.035,NA,-6.3,3.4,-2.8,0,"erickdampier"
"101",105,"Marquis Daniels\daniema01","SG",31,"BOS",38,484,8.1,0.395,0.07,0.161,4.1,11.6,8,15.5,2.3,1.4,15.5,18,NA,-0.8,0.9,0.1,0.008,NA,-5.4,1.8,-3.6,-0.2,"marquisdaniels"
"102",106,"Baron Davis\davisba01","PG",32,"NYK",29,595,10,0.457,0.462,0.13,2.5,8.4,5.4,36.2,2.9,0.4,28.1,20.4,NA,-0.7,0.8,0.2,0.014,NA,-2.4,-0.9,-3.3,-0.2,"barondavis"
"103",107,"Ed Davis\davised01","PF",22,"TOR",66,1534,14.2,0.544,0.003,0.316,10.4,23,16.7,6.5,1.4,3.4,14.9,13.8,NA,1.6,2.3,3.9,0.121,NA,-1.7,2.6,0.9,1.1,"eddavis"
"104",108,"Glen Davis\davisgl01","PF",26,"ORL",61,1427,13.2,0.466,0.026,0.313,8.5,18.4,13.4,5.9,1.6,1,11,22.4,NA,0,1.7,1.7,0.057,NA,-3.8,-0.4,-4.2,-0.8,"glendavis"
"105",109,"Josh Davis\davisjo02","PF",31,"MEM",15,130,11.3,0.459,0.481,0.296,14.1,10.1,12.1,6.8,2.8,0.6,8.9,11.7,NA,0.2,0.2,0.3,0.124,NA,0.9,0.8,1.7,0.1,"joshdavis"
"106",110,"Eric Dawson\dawsoer01","C",27,"SAS",4,39,14.6,0.582,0,0.167,15,14.4,14.7,0,1.3,3.7,18.9,18.6,NA,0,0.1,0.1,0.106,NA,-3.3,-2.6,-5.9,0,"ericdawson"
"107",111,"Austin Daye\dayeau01","SF",23,"DET",41,603,7.1,0.394,0.273,0.189,2.7,15.8,9,9.2,2,2.8,14,21.9,NA,-1.3,0.6,-0.6,-0.05,NA,-5.6,-0.3,-5.9,-0.6,"austindaye"
"108",112,"Carlos Delfino\delfica01","SF",29,"MIL",54,1537,11.7,0.515,0.528,0.106,1.4,13.9,7.5,11.9,2.6,0.5,12.2,15.5,NA,0.8,1.6,2.4,0.075,NA,0.1,0.6,0.7,1.1,"carlosdelfino"
