last name,first name,age,position,team,faStatus,total-contract,average
Rush,Brandon,32,SG,GSW,RFA,8000000,4000000
Hinrich,Kirk,36,SG,ATL,UFA,8000000,4000000
Hill,Jordan,30,C,LAL,UFA,7127200,3563600
Brown,Shannon,31,PG,PHX,UFA,7000000,3500000
Stevenson,DeShawn,36,SF,ATL,UFA,6721350,2240450
Allen,Ray,42,SG,BOS,UFA,6319050,3159525
Bayless,Jerryd,29,PG,TOR,UFA,6135000,3067500
Allen,LaVoy,28,PF,PHI,RFA,6060000,3030000
Delfino,Carlos,35,SG,MIL,UFA,6000000,3000000
Brown,Kwame,35,C,MIL,UFA,5764945,2882473
Young,Nick,32,SF,LAC,UFA,5600000,5600000
Stiemsma,Greg,32,C,BOS,RFA,5265875,2632938
Gray,Aaron,32,C,TOR,UFA,5265875,2632938
Randolph,Anthony,28,PF,MIN,UFA,5250000,1750000
Evans,Jeremy,29,SF,UTH,RFA,5250000,1750000
Evans,Reggie,37,PF,LAC,UFA,5086905,1695635
Brooks,Aaron,32,PG,SAC,UFA,5000000,5000000
Jeffries,Jared,35,PF,NYK,UFA,4624458,1541486
Miles,C.J.,30,SG,UTH,UFA,4450000,2225000
Green,Willie,36,SF,ATL,UFA,4222997,1407666
Hill,Grant,44,SF,PHX,UFA,4002065,2001033
Hickson,J.J,29,PF,POR,RFA,4000000,4000000
Billups,Chauncey,41,PG,LAC,UFA,4000000,4000000
Augustin,D.J.,29,PG,CHA,UFA,3500000,3500000
LucasIII,John,34,PG,CHI,UFA,3000000,1500000
Smith,Ishmael,29,PG,ORL,UFA,2854389,951463
Haddadi,Hamed,32,C,MEM,UFA,2697500,1348750
Foye,Randy,34,SG,LAC,UFA,2500000,2500000
Anderson,James,28,SG,SAS,UFA,2429920,809973
Price,Ronnie,34,PG,PHX,UFA,2412314,1206157
Mills,Patrick,29,PG,SAS,UFA,2219070,1109535
Watson,C.J.,33,PG,CHI,UFA,2099622,1049811
Orton,Daniel,27,C,ORL,UFA,1770488,885244
Webster,Martell,30,SF,MIN,UFA,1750000,1750000
Liggins,DeAndre,29,SG,ORL,UFA,1646488,823244
Higgins,Cory,28,SG,CHA,UFA,1646488,823244
Moore,E'Twaun,28,SG,HOU,UFA,1646488,823244
Meeks,Jodie,30,SG,PHI,UFA,1500000,1500000
Murphy,Troy,37,PF,LAL,UFA,1352181,1352181
O'Neal,Jermaine,38,C,BOS,UFA,1352181,1352181
Mohammed,Nazr,39,C,OKC,UFA,1352181,1352181
Collins,Jason,29,C,ATL,UFA,1352181,1352181
Jamison,Antawn,41,PF,CLE,UFA,1352181,1352181
Radmanovic,Vladimir,36,SF,ATL,UFA,1352181,1352181
Stackhouse,Jerry,42,SF,ATL,UFA,1352181,1352181
Wilcox,Chris,35,PF,BOS,UFA,1352181,1352181
Christmas,Dionte,31,SG,PHI,UFA,1262476,631238
Howard,Josh,37,SF,UTH,UFA,1229255,1229255
Barbosa,Leandro,34,SG,IND,UFA,1229255,1229255
Pargo,Jannero,37,PG,ATL,UFA,1229255,1229255
Milicic,Darko,32,PF,MIN,UFA,1229255,1229255
Daniels,Marquis,36,SF,BOS,UFA,1229255,1229255
Cook,Brian,36,PF,DEN,UFA,1229255,1229255
Barnes,Matt,37,SF,LAL,UFA,1229255,1229255
Bogans,Keith,37,SF,NJN,UFA,1229255,1229255
Wilkins,Damien,37,SG,DET,UFA,1223166,1223166
Ivey,Royal,35,PG,OKC,UFA,1223166,1223166
Jones,Solomon,33,PF,PHX,UFA,1217915,608958
Williams,Terrence,30,SG,BOS,UFA,1197823,598912
Jones,Kevin,28,PF,CLE,UFA,1178899,589450
Blatche,Andray,31,C,WAS,UFA,1146337,1146337
Robinson,Nate,33,PG,GSW,UFA,1146337,1146337
Turiaf,Ronny,34,C,MIA,UFA,1146337,1146337
Livingston,Shaun,32,PG,HOU,UFA,1108044,1108044
Fisher,Derek,43,PG,OKC,UFA,1088340,1088340
Barron,Earl,36,PF,GSW,UFA,1069509,1069509
Childress,Josh,34,SF,PHX,UFA,1069509,1069509
Brewer,Ronnie,32,SF,CHI,UFA,1069509,1069509
Hollins,Ryan,32,C,CLE,UFA,1069509,1069509
Ebanks,Devin,27,SF,LAL,RFA,1054389,1054389
Harangody,Luke,29,PF,CLE,RFA,1054389,1054389
Greene,Donte,29,SF,SAC,RFA,1032811,516406
Varnado,Jarvis,29,PF,MIA,UFA,1006173,503087
Johnson,Ivan,33,PF,ATL,RFA,962195,962195
Morris,Darius,26,PG,LAL,RFA,962195,962195
Morrison,Adam,33,SF,WAS,UFA,915852,915852
Martin,Cartier,32,PF,WAS,UFA,915852,915852
Brown,Derrick,30,PG,CHA,UFA,885120,885120
Price,A.J.,30,PG,IND,UFA,885120,885120
Ahearn,Blake,33,SG,UTH,UFA,885120,885120
Johnson,Armon,28,PG,NJN,UFA,854389,854389
Jeffers,Othyus,32,PG,WAS,UFA,854389,854389
Tolliver,Anthony,32,PF,MIN,UFA,854389,854389
Holiday,Justin,28,SG,POR,UFA,836232,418116
Joseph,Kris,28,SF,BKN,UFA,805587,402794
Akognon,Josh,31,PG,DAL,UFA,802802,401401
Reed,Willie,27,PF,SAC,UFA,791658,395829
RussellJr,Walker,34,PG,DET,UFA,762195,762195
Jordan,Jerome,31,C,HOU,UFA,762195,762195
Harrellson,Josh,28,PF,HOU,UFA,762195,762195
Wright,Chris,29,SF,GSW,UFA,762195,762195
Harris,Terrel,30,SG,MIA,UFA,762195,762195
Taylor,Jermaine,30,SG,SAC,UFA,762195,762195
Gladness,Mickell,31,PF,GSW,UFA,762195,762195
Cook,Daequan,30,SG,HOU,UFA,595608,595608
Douglas-Roberts,Chris,30,SG,DAL,UFA,593678,593678
Hayward,Lazar,30,PF,HOU,UFA,573066,573066
Temple,Garrett,31,SG,MIA,UFA,572943,572943
Mack,Shelvin,27,PG,WAS,UFA,511119,511119
Tarver,Seth,29,SG,POR,UFA,473604,473604
Dennis,Stephen,30,SG,LAC,UFA,473604,473604
Mays,James,31,PF,BKN,UFA,473604,473604
Dooling,Keyon,37,SG,BOS,UFA,119310,119310
Andersen,Chris,39,PF,DEN,UFA,72309,0
Randolph,Shavlik,33,PF,WAS,UFA,58393,5839
McGuire,Dominic,31,SF,IND,UFA,58392,5839
Goudelock,Andrew,28,PG,LAL,UFA,17934,17934
McGrady,Tracy,38,SG,ATL,UFA,15908,15908
Richardson,Quentin,37,PF,ORL,UFA,15908,15908
